method,model,ROC-AUC,Train Time (s),params
Random Search,CatBoost,0.688050916026244,490.91,"{'depth': 9, 'learning_rate': 0.01947558230629543, 'iterations': 801, 'l2_leaf_reg': 8}"
Bayesian Optimization,CatBoost,0.6879561168972531,371.52,"{'depth': 7, 'learning_rate': 0.07778702250703365, 'iterations': 420, 'l2_leaf_reg': 10}"
Genetic Algorithm,CatBoost,0.687481314176452,411.7,"{'depth': 8, 'learning_rate': 0.03882458572802511, 'iterations': 598, 'l2_leaf_reg': 3}"
Bayesian Optimization,LightGBM,0.6871182591774289,126.39,"{'num_leaves': 57, 'learning_rate': 0.022600129992724077, 'n_estimators': 417, 'max_depth': 9, 'min_child_samples': 68}"
Genetic Algorithm,LightGBM,0.6865623614755193,66.87,"{'num_leaves': 115, 'learning_rate': 0.12845440557093132, 'n_estimators': 141, 'max_depth': 5, 'min_child_samples': 58}"
Random Search,LightGBM,0.6858446612077993,116.89,"{'num_leaves': 214, 'learning_rate': 0.0615056246126792, 'n_estimators': 417, 'max_depth': 7, 'min_child_samples': 60}"
