model,generation,best_fitness
CatBoost,0,0.6866164194157526
CatBoost,1,0.6866164194157526
CatBoost,2,0.6866164194157526
CatBoost,3,0.6866164194157526
CatBoost,4,0.687481314176452
LightGBM,0,0.6851341600566346
LightGBM,1,0.6865623614755193
LightGBM,2,0.6865623614755193
LightGBM,3,0.6865623614755193
LightGBM,4,0.6865623614755193
