Model,Accuracy,Precision,Recall,F1,ROC-AUC,Train Time (s)
CatBoost,0.6377812995245642,0.6312135079690705,0.5422258370611359,0.5833454863642993,0.6917578153916015,28.01
LightGBM,0.6358795562599049,0.625673387717408,0.5510370069133794,0.5859881793282399,0.6888593639022026,0.82
XGBoost,0.637527733755943,0.6295891266989533,0.5462925308390945,0.5849905646683118,0.6845240268578054,1.05
Random Forest,0.629540412044374,0.6257588187038556,0.5170123356377931,0.5662114014251781,0.678026485194694,71.34
Logistic Regression,0.627892234548336,0.6244426094137077,0.5125389724820387,0.5629839189994044,0.6677823844591024,4.95
Decision Tree,0.5523930269413629,0.5214849061735111,0.519859021282364,0.5206706944538728,0.5504153406006962,31.76
