Model,Accuracy,Precision,Recall,F1,ROC-AUC,Train Time (s)
CatBoost,0.637527733755943,0.6287443737389415,0.5491392164836655,0.5862518089725036,0.6869671100127993,19.46
LightGBM,0.634675118858954,0.6255444928438083,0.5450725227057069,0.582542557044549,0.683457887734652,0.66
XGBoost,0.6327733755942948,0.6203281677301732,0.5534770231801546,0.5849989254244573,0.6832125851017091,1.04
