method,model,ROC-AUC,Train Time (s),params
Bayesian Optimization,CatBoost,0.6879561168972531,371.52,"{'depth': 7, 'learning_rate': 0.07778702250703365, 'iterations': 420, 'l2_leaf_reg': 10}"
Bayesian Optimization,LightGBM,0.6871182591774289,126.39,"{'num_leaves': 57, 'learning_rate': 0.022600129992724077, 'n_estimators': 417, 'max_depth': 9, 'min_child_samples': 68}"
