feature,mi_score,importance,rfe_rank,mi_rank,importance_rank,avg_rank
categorical__race_Other,0.0015954384374921027,0.259693577819337,7,100.0,81.0,62.666666666666664
categorical__repaglinide_Steady,0.0026926435863534603,0.1638365071951924,22,62.0,104.0,62.666666666666664
categorical__payer_code_CM,0.0009407976554622888,0.37234509020931567,12,123.0,54.0,63.0
categorical__race_Asian,0.0018177681063475948,0.24501221956170338,8,94.0,87.0,63.0
categorical__age_[10-20),0.0026811390458554296,0.10138141361793987,10,63.0,117.0,63.333333333333336
categorical__payer_code_CP,0.0018570444948804443,0.21902807259817533,12,89.0,91.0,64.0
categorical__insulin_Steady,0.00047162833410219207,0.5191709394852366,17,141.0,35.0,64.33333333333333
categorical__medical_specialty_Cardiology,0.0022109158915302185,0.17248596314104694,13,78.0,102.0,64.33333333333333
categorical__glipizide_Steady,0.0018348993093877386,0.17556313708879262,5,90.0,101.0,65.33333333333333
categorical__medical_specialty_Emergency/Trauma,0.0,0.6082357831777185,13,156.0,27.0,65.33333333333333
categorical__acarbose_No,0.007306742617398276,0.010227083423626796,18,14.0,165.0,65.66666666666667
categorical__payer_code_DM,0.002234389181002383,0.12066481969135988,12,77.0,109.0,66.0
categorical__age_[50-60),0.000571569848738962,0.4233108650730204,10,138.0,50.0,66.0
categorical__age_[0-10),0.002182780752922442,0.12688212953146605,10,81.0,108.0,66.33333333333333
categorical__race_Hispanic,0.0005893684800151178,0.36230301089435907,8,136.0,55.0,66.33333333333333
categorical__diag_3_category_Diabetes,0.0,0.5121655804262718,6,156.0,37.0,66.33333333333333
categorical__medical_specialty_Surgery-Neuro,0.0018869783320005773,0.22666925009637295,24,88.0,88.0,66.66666666666667
categorical__medical_specialty_Family/GeneralPractice,0.00013488726752974856,0.4573743171777263,5,150.0,46.0,67.0
categorical__medical_specialty_Surgeon,0.003527734809974703,0.0483483482367482,19,46.0,136.0,67.0
categorical__payer_code_WC,0.002374854902156054,0.07607531593217279,9,70.0,122.0,67.0
categorical__diag_2_category_Other,9.403288480513972e-05,0.48207491184388723,7,151.0,43.0,67.0
categorical__diag_3_category_Circulatory,0.0,0.49182210245316854,5,156.0,42.0,67.66666666666667
categorical__payer_code_UN,0.0013547286997643848,0.22541681014140028,5,109.0,90.0,68.0
categorical__payer_code_HM,0.0,0.5190909867419164,12,156.0,36.0,68.0
categorical__chlorpropamide_No,0.010675211222698877,0.0053005820964463456,24,6.0,176.0,68.66666666666667
categorical__medical_specialty_Surgery-General,0.0010438578730089798,0.3214628100897358,19,120.0,67.0,68.66666666666667
categorical__payer_code_SP,0.0,0.4956711273312334,11,156.0,40.0,69.0
categorical__glyburide-metformin_Steady,0.0022751173930750657,0.08601105849793103,12,75.0,121.0,69.33333333333333
categorical__tolbutamide_No,0.01224344937719013,0.003064719168525786,21,4.0,184.0,69.66666666666667
categorical__race_AfricanAmerican,0.0,0.4190424688848466,5,156.0,51.0,70.66666666666667
categorical__glipizide-metformin_No,0.006251481414746296,0.005195341311045328,12,24.0,177.0,71.0
categorical__max_glu_serum_>200,0.003458556805059354,0.03194973380659374,21,48.0,148.0,72.33333333333333
categorical__diag_1_category_Injury,0.0005127413049137441,0.30349282489267154,5,139.0,75.0,73.0
categorical__medical_specialty_Surgery-Thoracic,0.002989472914782576,0.03665822304338012,20,55.0,144.0,73.0
categorical__medical_specialty_Radiologist,0.0016395197078782342,0.11414663312934799,8,99.0,112.0,73.0
categorical__medical_specialty_Hospitalist,0.0028715422231329057,0.03296087058840848,14,59.0,147.0,73.33333333333333
categorical__pioglitazone_Steady,0.0013585179449138174,0.1926203711023931,20,107.0,94.0,73.66666666666667
categorical__medical_specialty_Neurology,0.0018215749985697194,0.10002568565141629,14,93.0,118.0,75.0
categorical__diag_1_category_Digestive,0.0,0.35326399596784325,10,156.0,59.0,75.0
categorical__glyburide_Steady,0.0,0.4437085380331515,22,156.0,48.0,75.33333333333333
categorical__diag_1_category_Genitourinary,0.0,0.34898019425297944,9,156.0,61.0,75.33333333333333
categorical__metformin-rosiglitazone_No,0.006049874895757812,0.0014209603742398598,10,26.0,191.0,75.66666666666667
categorical__diag_3_category_Respiratory,0.0,0.35626661155229333,16,156.0,57.0,76.33333333333333
categorical__diag_2_category_Genitourinary,0.0,0.3232390033355467,8,156.0,66.0,76.66666666666667
categorical__rosiglitazone_Down,0.0018261107620829442,0.09745806727452709,20,92.0,119.0,77.0
categorical__medical_specialty_Nephrology,0.0,0.3500999910867448,15,156.0,60.0,77.0
categorical__medical_specialty_Surgery-Plastic,0.0028910712266745353,0.02219121868586224,20,58.0,155.0,77.66666666666667
categorical__age_[40-50),0.0,0.31711894338520136,10,156.0,68.0,78.0
categorical__diag_3_category_Neoplasms,0.0,0.32574185938106076,14,156.0,65.0,78.33333333333333
categorical__diag_3_category_Digestive,0.0,0.3050018463150437,6,156.0,73.0,78.33333333333333
categorical__diag_2_category_Digestive,0.0,0.31009736244985936,8,156.0,72.0,78.66666666666667
categorical__payer_code_CH,0.0016502897787784576,0.05763828810037185,12,98.0,129.0,79.66666666666667
categorical__diag_2_category_Musculoskeletal,0.0005740993748286627,0.1881490523566103,7,137.0,96.0,80.0
categorical__glimepiride-pioglitazone_No,0.006511429205595443,0.0,8,21.0,211.0,80.0
categorical__troglitazone_No,0.008183829332875314,0.0,17,12.0,211.0,80.0
categorical__diag_2_category_Respiratory,0.0,0.29106251134121214,7,156.0,78.0,80.33333333333333
categorical__medical_specialty_Psychology,0.0023563754412203597,0.020082460599844688,10,72.0,159.0,80.33333333333333
categorical__medical_specialty_Orthopedics,0.0,0.31090959800589063,15,156.0,71.0,80.66666666666667
categorical__medical_specialty_Pediatrics-Endocrinology,0.0007106228478841459,0.1463049926837975,6,131.0,105.0,80.66666666666667
categorical__nateglinide_Steady,0.002197471161699216,0.042316855190362976,23,79.0,141.0,81.0
categorical__glipizide_Down,0.0014130563798162576,0.11109765022101788,23,105.0,115.0,81.0
categorical__tolazamide_No,0.007217043086222397,0.0,17,15.0,211.0,81.0
categorical__medical_specialty_Surgery-Cardiovascular/Thoracic,0.0,0.3163367874915702,19,156.0,69.0,81.33333333333333
categorical__payer_code_PO,8.253477132114106e-05,0.2261115388685509,11,152.0,89.0,84.0
categorical__medical_specialty_Hematology,0.0016692159190931921,0.037437515100124136,14,97.0,143.0,84.66666666666667
categorical__payer_code_MP,0.00211165455218687,0.016454985182016674,12,82.0,161.0,85.0
categorical__diag_1_category_Musculoskeletal,0.0,0.20749267790909676,10,156.0,92.0,86.0
categorical__glimepiride_Steady,0.0013497765956427266,0.06781762636867511,24,110.0,124.0,86.0
categorical__A1Cresult_>7,0.0,0.2574778035827755,21,156.0,82.0,86.33333333333333
categorical__miglitol_No,0.00525493839254465,0.0,18,31.0,211.0,86.66666666666667
categorical__glipizide_Up,0.0016838307452697876,0.04077507120832381,23,96.0,142.0,87.0
categorical__metformin_Steady,2.002342793394618e-05,0.25142842252276126,22,155.0,85.0,87.33333333333333
categorical__max_glu_serum_>300,0.00032004177440070336,0.18286074325285423,21,144.0,97.0,87.33333333333333
categorical__diag_2_category_Missing,0.0013337585511892236,0.036367752979397566,7,111.0,145.0,87.66666666666667
categorical__payer_code_MD,0.0,0.17774550329045674,12,156.0,100.0,89.33333333333333
categorical__medical_specialty_Psychiatry,0.0013559180339468568,0.027112402013809243,9,108.0,153.0,90.0
categorical__medical_specialty_Obstetrics,0.0021036701577807904,0.0063682691114586775,15,83.0,173.0,90.33333333333333
categorical__metformin_Up,0.0,0.19536544885345777,22,156.0,93.0,90.33333333333333
categorical__glyburide-metformin_Up,0.0019020499514859068,0.006228276140672469,12,87.0,174.0,91.0
categorical__chlorpropamide_Down,0.004602127006976486,0.0,24,38.0,211.0,91.0
categorical__diag_3_category_Musculoskeletal,0.0,0.13434126726455278,13,156.0,106.0,91.66666666666667
categorical__metformin-pioglitazone_No,0.0031442558890921735,0.0,11,53.0,211.0,91.66666666666667
categorical__medical_specialty_Endocrinology-Metabolism,0.002187917510308557,0.003298098159897006,13,80.0,182.0,91.66666666666667
categorical__medical_specialty_Pediatrics-InfectiousDiseases,0.0027365870933229175,0.0010310279900388193,19,61.0,196.0,92.0
categorical__medical_specialty_Hematology/Oncology,0.0,0.12963390329875477,14,156.0,107.0,92.33333333333333
categorical__medical_specialty_Perinatology,0.0033074050311205916,0.0,15,51.0,211.0,92.33333333333333
categorical__glimepiride-pioglitazone_Steady,0.002518151666295987,0.00016583663544629483,7,68.0,203.0,92.66666666666667
categorical__medical_specialty_Surgery-Vascular,0.0,0.16951545764893144,20,156.0,103.0,93.0
categorical__nateglinide_Up,0.0028927006250061282,0.0004672884006596266,23,57.0,200.0,93.33333333333333
categorical__acetohexamide_No,0.0033699922500167734,0.0,24,50.0,211.0,95.0
categorical__rosiglitazone_Up,0.0,0.11831660378364847,19,156.0,111.0,95.33333333333333
categorical__medical_specialty_SportsMedicine,0.002236752219521909,0.001106777227661385,18,76.0,194.0,96.0
categorical__medical_specialty_DCPTEAM,0.002555848896131696,0.0,13,67.0,211.0,97.0
categorical__glimepiride_Down,0.001199964036246337,0.029126129491393274,24,116.0,151.0,97.0
categorical__diag_3_category_Missing,0.0,0.06720833152515643,8,156.0,127.0,97.0
categorical__medical_specialty_Pediatrics,0.0,0.08730321119729523,16,156.0,120.0,97.33333333333333
categorical__payer_code_OG,0.0009476610060572543,0.019717846394242265,11,122.0,160.0,97.66666666666667
categorical__glimepiride_Up,0.0,0.11276000146171067,24,156.0,114.0,98.0
categorical__medical_specialty_Radiology,0.0010704504317962105,0.020531378219994952,18,119.0,158.0,98.33333333333333
categorical__payer_code_OT,0.0,0.0552924426919687,11,156.0,131.0,99.33333333333333
categorical__medical_specialty_Surgery-Pediatric,0.0023583923997991807,9.190935423165221e-05,19,71.0,209.0,99.66666666666667
categorical__medical_specialty_Endocrinology,0.0,0.05684398655548955,13,156.0,130.0,99.66666666666667
categorical__pioglitazone_Up,0.0,0.06248881826457189,20,156.0,128.0,101.33333333333333
categorical__medical_specialty_PhysicalMedicineandRehabilitation,0.0,0.04948244320477738,15,156.0,134.0,101.66666666666667
categorical__medical_specialty_Anesthesiology,0.0008036870262901896,0.00644632350335353,9,127.0,171.0,102.33333333333333
categorical__medical_specialty_Urology,6.663992532018881e-05,0.050351645654227804,21,153.0,133.0,102.33333333333333
categorical__medical_specialty_Osteopath,0.0006636941229658522,0.021113345561268097,17,134.0,157.0,102.66666666666667
categorical__medical_specialty_Psychiatry-Child/Adolescent,0.0015627959184709717,0.0025594766886344526,21,101.0,186.0,102.66666666666667
categorical__glyburide_Up,0.0,0.05413022034025684,21,156.0,132.0,103.0
categorical__medical_specialty_Gynecology,0.0,0.04384726606547868,14,156.0,140.0,103.33333333333333
categorical__medical_specialty_SurgicalSpecialty,0.0,0.04923202029787306,20,156.0,135.0,103.66666666666667
categorical__glyburide_Down,0.0,0.04629344882768861,22,156.0,138.0,105.33333333333333
categorical__repaglinide_Up,0.0,0.04648184166340551,23,156.0,137.0,105.33333333333333
categorical__medical_specialty_Surgery-Cardiovascular,0.0,0.04605942731118912,23,156.0,139.0,106.0
categorical__medical_specialty_InfectiousDiseases,0.0,0.029671172865456442,14,156.0,150.0,106.66666666666667
categorical__medical_specialty_PhysicianNotFound,0.0006748094645381286,0.008303000094002684,20,133.0,167.0,106.66666666666667
categorical__medical_specialty_Podiatry,0.0,0.027999016275089997,14,156.0,152.0,107.33333333333333
categorical__medical_specialty_Pediatrics-Neurology,0.001108511603777007,0.0017553619582778386,16,117.0,190.0,107.66666666666667
categorical__metformin_Down,0.0,0.03305638701960394,22,156.0,146.0,108.0
categorical__medical_specialty_Otolaryngology,0.0,0.024660505189811992,16,156.0,154.0,108.66666666666667
categorical__medical_specialty_Cardiology-Pediatric,0.00014068271266109988,0.010569671163199663,13,149.0,164.0,108.66666666666667
categorical__metformin-rosiglitazone_Steady,0.0012535154821813332,0.00045465092702661716,11,115.0,201.0,109.0
categorical__medical_specialty_Pediatrics-CriticalCare,0.0,0.021877588043413422,16,156.0,156.0,109.33333333333333
categorical__diag_1_category_Missing,0.00021300518638578403,0.007182848364062561,13,148.0,169.0,110.0
categorical__medical_specialty_Obsterics&Gynecology-GynecologicOnco,0.0,0.014154089904929536,15,156.0,163.0,111.33333333333333
categorical__tolazamide_Steady,0.0,0.015352120039857909,17,156.0,162.0,111.66666666666667
categorical__miglitol_Down,0.0013053427545430818,0.00010834398254627159,18,112.0,205.0,111.66666666666667
categorical__nateglinide_Down,0.0006922790067500628,0.004488031028404485,23,132.0,180.0,111.66666666666667
categorical__medical_specialty_Dermatology,0.0008205541822032814,0.0007081732703510881,13,125.0,199.0,112.33333333333333
categorical__payer_code_SI,0.0,0.0070578795038966835,11,156.0,170.0,112.33333333333333
categorical__medical_specialty_Pathology,0.0,0.008334773459784298,16,156.0,166.0,112.66666666666667
categorical__medical_specialty_Oncology,0.0,0.007364534817306133,15,156.0,168.0,113.0
categorical__pioglitazone_Down,0.0002315330941051741,0.006411397236561165,21,146.0,172.0,113.0
categorical__medical_specialty_Anesthesiology-Pediatric,0.0,0.005444807352103637,9,156.0,175.0,113.33333333333333
categorical__tolbutamide_Steady,0.0004527308044206535,0.0051390135746748975,21,142.0,178.0,113.66666666666667
categorical__glyburide-metformin_Down,0.0,0.004580817952262324,7,156.0,179.0,114.0
categorical__chlorpropamide_Up,0.00107606251305703,0.0003035146234502821,24,118.0,202.0,114.66666666666667
categorical__medical_specialty_AllergyandImmunology,0.0,0.00214277906799028,9,156.0,188.0,117.66666666666667
categorical__medical_specialty_Dentistry,0.0,0.002750184620075967,13,156.0,185.0,118.0
